task,metric,n_ctrl,n_dupi,control_mean,control_SD,control_CV,sep_control_dupi,sep_resp_nonresp,recovery_rho_dupi,recovery_rho_resp,max_separation,control_CV_rank,goodness
threshTask,anyBurst__var,5,29,0,0,0,0.4790692927681684,0.5659426965157801,-0.13516597708859635,-0.1739590550813391,0.5659426965157801,6.5,0.5659426965157801
threshTask,anyBurst__mean,5,29,1,0,0,-0.47906929276816845,-0.5659426965157773,0.13516597708859635,0.1739590550813391,0.5659426965157773,6.5,0.5659426965157773
cueTask,gammaBumpDb__var,11,30,11.057309194356353,6.591150844227968,0.5960899462769839,-0.9032193799280773,0.85398736565346,-0.03875136798331667,-0.09314469465177633,0.9032193799280773,681,0.56589503745381875
threshTask,dutyCycle__mean,5,29,0.2542452496997954,0.05249543014447453,0.20647555854036165,-0.6807230721692282,-0.5514996610165455,-0.09815247595414042,-0.1516419233059645,0.6807230721692282,370,0.5642245028094824
threshTask,timeAboveMs__mean,5,29,508.9989898989899,105.09585114923796,0.20647555935206788,-0.6807230721692287,-0.5514996610165456,-0.09815247595414042,-0.1516419233059645,0.6807230721692287,371,0.5642245024298775
focusedBreathing,w5_rfreqPW__var,3,27,48.73455450833433,17.700051445737284,0.36319304903766225,0.7687677143709001,0.1006791400419499,-0.07388518941793229,0.04573990195223607,0.7687677143709001,527,0.5639463280080594
audiobook,w4_rpowDb__mean,7,28,3.2234342019411506,3.4289734854895086,1.0637640695010366,-1.1620318887949006,-0.6165438326746996,0.05633414317761027,0.1897034419046727,1.1620318887949006,780,0.5630643085456222
audiobook,w1_rpowDb__mean,7,28,2.621986345000934,3.1912636420052087,1.2171168041635834,-1.2457168833724095,-0.43974027852262704,0.026406629614504816,0.04954038928720752,1.2457168833724095,794,0.5618634440156892
O15,chirpSlope__var,11,28,573.9714892485554,288.17132811675054,0.5020655790647772,0.5493046035531255,0.8431445376481745,-0.12866831489368816,-0.19862948311037554,0.8431445376481745,635,0.5613233865415763
focusedBreathing,w3_bandDb__mean,3,27,1.4826678305617706,2.4086317283420406,1.624525518844571,-1.470034356409959,-0.7447937939962267,-0.0016346280844675288,0.15801057038045188,1.470034356409959,827,0.5601143314686196
