task,metric,ctrl_mean,ctrl_sd,dupi_sd,d_sep,p_sep,rho,p_rho,S1,S2,S3,d_S1_ctrl,d_S3_ctrl,recover_gain,p_sep_fdr,p_rho_fdr
audiobook,p2_rpowDb__var,7.16817713039817,4.165742598088661,6.335688466494067,0.7236356930495718,0.12912910754608067,0.09603598051577619,0.6201986954239486,9.02502466134841,12.457692281582634,10.376075328136977,0.4151856491464032,0.5954261801048529,-0.18024053095844972,0.390145688308448,0.9967397636835182
audiobook,p2_bandDb__var,3.157976458718238,4.044329055019845,5.424713423138632,0.07551897878345246,0.8886446652078741,-0.21138498190662586,0.27099789930328094,2.8157305371189754,5.274091758739473,1.6889401085548543,-0.11685402880028661,-0.48813342825665307,-0.37127939945636645,0.9515157154248863,0.9967397636835182
audiobook,p2_aucZ__var,0.25879980800628516,0.09091798090204357,0.24524270550344565,0.385633203565071,0.33027529332548067,0.19260108489114347,0.31683758157487224,0.2784146149266146,0.29433781959268085,0.4564246946701326,0.11042122237606286,0.9453338791794412,-0.8349126568033783,0.626849026107545,0.9967397636835182
audiobook,p3_rfreqPW__var,43.78928556161189,18.30156022445374,11.480388788410465,0.13814803386320623,0.8085944741179729,0.07460646420233853,0.7005099217433041,44.208719595530006,48.09505669768619,44.89656123744894,0.030574818877951708,0.07068685877354292,-0.04011203989559121,0.911506498096624,0.9967397636835182
audiobook,p3_rfreqGated__var,51.5651208772928,20.15661400505355,13.669634242911771,0.046080090741977574,0.9344762130325088,0.051854138239923235,0.789361731290929,51.91559619839858,53.27176396625637,52.10389743744683,0.02157323098804866,0.030235387202211687,-0.008662156214163028,0.955014151780476,0.9967397636835182
audiobook,p3_rfreqRaw__var,40.69251044422714,16.955591978602733,10.60339956878149,0.1405200910001718,0.8075565612773912,0.1293707836700126,0.5035864850989786,40.872572877082135,45.01610752294135,42.021074921596124,0.013903863149291821,0.09150224656422719,-0.07759838341493537,0.911506498096624,0.9967397636835182
audiobook,p3_rpowZ__var,0.3427571018944459,0.06411598506016333,0.1083697574220642,-0.8574207663264573,0.06789505417072361,0.05502888139746956,0.7767788681618242,0.25376538457092634,0.30357099256063186,0.28272193335674733,-1.1133721167374235,-0.6451904784553769,0.4681816382820466,0.3588927780877786,0.9967397636835182
audiobook,p3_rpowDb__var,8.247096864440099,6.2852831187892,6.920980941529997,0.3472035939045898,0.47997613107776393,7.936857893865801e-4,0.9967397636835182,9.023933454727562,12.446457418170276,8.856517352211055,0.1499094429244102,0.08791259217162102,0.06199685075278917,0.6626140934028462,0.9967397636835182
audiobook,p3_bandDb__var,1.794451887880993,0.6965103428350282,5.34859652900763,0.5782905751485521,0.11944555083355701,-0.14286344208958443,0.45972065822150443,3.941658501026394,3.909742578777806,1.4693137677029136,0.38151054723875333,-0.5573209121704229,-0.17581036493166957,0.390145688308448,0.9967397636835182
audiobook,p3_aucZ__var,0.40519140464054243,0.328579136802734,0.7510115801173733,0.5250512526019678,0.20467237842796573,-0.05158957631012771,0.7904126931076669,0.7420389828677766,0.7198718630012647,0.7969839299705826,0.5610936157485278,0.6257912711543641,-0.06469765540583627,0.5144467890216436,0.9967397636835182
