sessID,participant,task,category,block,band,window,winMid,medZ,medZ_ninv,nBreaths
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,high,1500-2000,1750,1.8762586549403,0.279696126387922,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,low,0-500,250,-1.23854053891071,-0.184630722526238,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,low,500-1000,750,7.74307088413214,1.15426885676792,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,low,1000-1500,1250,9.30264147171845,1.38675591340474,45
260625_OBE_NWU_HM_2,HM,threshTask,olf,threshTask,low,1500-2000,1750,6.64145835599126,0.990050156915364,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,high,0-500,250,2.34499045361215,0.349570537390989,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,high,500-1000,750,0.0412047868950174,0.00614244696637676,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,high,1000-1500,1250,1.29124339140881,0.192487199912497,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,high,1500-2000,1750,1.36580584002962,0.203602313491495,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,low,0-500,250,-0.646933012946874,-0.0964390795891975,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,low,500-1000,750,3.49001768451882,0.520261119017367,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,low,1000-1500,1250,7.52099931609823,1.12116438196834,45
260702_OBE_NWU_SP_2,SP,threshTask,olf,threshTask,low,1500-2000,1750,8.42466416451049,1.25587478396346,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,high,0-500,250,1.79590328298499,0.267717454784633,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,high,500-1000,750,1.26516422310832,0.188599547038061,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,high,1000-1500,1250,2.43327436676961,0.36273112613364,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,high,1500-2000,1750,2.99418792996229,0.446347183253671,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,low,0-500,250,0.166658686945603,0.024844010203415,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,low,500-1000,750,0.231873423069937,0.0345656490773299,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,low,1000-1500,1250,1.47581543562504,0.220001575753404,45
260720_OBE_NWU_KA_2,KA,threshTask,olf,threshTask,low,1500-2000,1750,0.289024000781556,0.0430851541917674,45
250225_OBE_NWU_AS_4,AS,O15,olf,O15,high,0-500,250,3.63854141607003,0.363854141607003,100
250225_OBE_NWU_AS_4,AS,O15,olf,O15,high,500-1000,750,0.797609229005942,0.0797609229005942,100
250225_OBE_NWU_AS_4,AS,O15,olf,O15,high,1000-1500,1250,1.71859367784489,0.171859367784489,100
250225_OBE_NWU_AS_4,AS,O15,olf,O15,high,1500-2000,1750,1.72472320818369,0.172472320818369,100
250225_OBE_NWU_AS_4,AS,O15,olf,O15,low,0-500,250,-0.518988157787933,-0.0518988157787933,100
