metric,family,is_manipulation,n_subj,n_pos,n_neg,mean_logVarRatio,sd_logVarRatio,direction,varRatio_p,varRatio_p_fdr,varRatio_t_p,varRatio_t_p_fdr,varRatio_sign_p,mean_KS,mean_KS_centered,mean_IQRdiff,KS_combined_p,KS_combined_p_fdr,KS_centered_combined_p,KS_centered_combined_p_fdr
p2_rpowDb,segment_gamma,FALSE,6,5,1,0.08650362494803063,0.4063979313011046,higher_focus,0.40167816646977295,0.6985707242952572,0.6243603021340163,0.8291844226703428,0.21875000000000008,0.17529123028031937,0.1462161501319067,0.5854450868662692,0.05620878173542598,0.11521669848585325,0.5804904637856687,1
maxBurstMs,burst,FALSE,6,2,4,0.04364835915386653,0.21594175806283114,higher_focus,1,1,0.6415064753866881,0.8291844226703428,0.6874999999999999,0.15639747971401183,0.11585547176915263,-0.3333333333333333,0.4527693201779357,0.5693917208298283,0.9853935570857125,1
p3_rfreqRaw,segment_gamma,FALSE,6,2,4,-0.05914996478585859,0.29657077316601554,higher_audiobook,0.6749867139704894,0.83075287873291,0.6458380397324422,0.8291844226703428,0.6874999999999999,0.26282400897775665,0.1530488685973705,-1.0562952435299096,1.9515550808335558e-4,0.003239581434183703,0.35406333268647805,1
p4_rfreqPW,segment_gamma,FALSE,6,4,2,0.09233926704729335,0.47343546466045816,higher_focus,0.6749867139704894,0.83075287873291,0.652982732852895,0.8291844226703428,0.6874999999999999,0.2406662461150085,0.15802941004891777,-0.4158090765529702,0.02543996949421179,0.0782043506673918,0.6866169653726004,1
w3_rfreqGated,window_gamma,FALSE,6,4,2,0.043198511850054626,0.23827524267886305,higher_focus,0.6749867139704894,0.83075287873291,0.6755421691007039,0.8444277113758798,0.6874999999999999,0.18428992501208286,0.14333353854352449,0.48239307012309024,0.1771527271922526,0.2579592343325784,0.6900804973241288,1
p1_rfreqRaw,segment_gamma,FALSE,6,3,3,-0.03387279483592675,0.20123898104417626,higher_audiobook,0.833935414088552,0.8895311083611221,0.6972005131172072,0.8545561981304391,1,0.1482454579211155,0.14466112974698567,-0.17353418662178535,0.4441989958058513,0.5672079484905486,0.5088663903771957,1
p2_rpowZ,segment_gamma,FALSE,6,2,4,-0.08324631189281675,0.5239324187696704,higher_audiobook,0.6749867139704894,0.83075287873291,0.7131565418645518,0.8545561981304391,0.6874999999999999,0.21133979230001948,0.1695471228827557,0.02469172041790953,0.016758839875430143,0.062226168184302266,0.41762613850839414,1
p1_rfreqPW,segment_gamma,FALSE,6,3,3,-0.03405863663901991,0.2223740729240935,higher_audiobook,1,1,0.7229277216783693,0.8545561981304391,1,0.14066066460340684,0.13595512093709125,-0.32474845628616106,0.6401015845100324,0.7179517772207121,0.7989237094075365,1
nBursts,burst,FALSE,6,4,2,0.07241076298211896,0.4790719356183968,higher_focus,0.833935414088552,0.8895311083611221,0.7263727684108733,0.8545561981304391,0.6874999999999999,0.27711860788443027,0.2359756549767715,0,0.16045080141807955,0.24569778769093303,0.6271553249055104,1
w2_rfreqPW,window_gamma,FALSE,6,4,2,0.016027236930591205,0.11204023154936288,higher_focus,0.5293681061847979,0.7562401516925684,0.7403193773561322,0.8583413070795736,0.6874999999999999,0.13379775739006639,0.13442230564924848,-0.5417116569834425,0.8038423639943948,0.8445432431839844,0.8071084408529001,1
