sess,cond,freqRange,minLat_ms,maxLat_ms,minPct,maxPct,breathMs
AS,baseline,25,200,720,6.98812019566737,25.1572327044025,2862
AS,baseline,29,288,2032,6.50994575045208,45.9312839059674,4424
AS,baseline,25,200,3440,4.92368291482028,84.6873461349089,4062
AS,baseline,20,2572,3286,75.4694835680751,96.4201877934272,3408
AS,baseline,31,1876,2760,52.9943502824859,77.9661016949153,3540
AS,baseline,27,2950,3198,91.1619283065513,98.8257107540173,3236
AS,baseline,33,3614,878,93.7727036844837,22.7815256875973,3854
AS,baseline,29,200,2176,4.72589792060491,51.4177693761815,4232
AS,baseline,32,3192,782,62.0287602020987,15.1962689467548,5146
AS,baseline,24,336,856,5.73378839590444,14.6075085324232,5860
AS,baseline,32,2734,1464,96.1998592540464,51.5130190007037,2842
AS,baseline,24,200,2366,5.35331905781585,63.3297644539615,3736
AS,baseline,32,2240,756,67.3076923076923,22.7163461538462,3328
AS,baseline,33,2578,1708,78.2635094110504,51.8518518518519,3294
AS,baseline,32,2528,798,73.2329084588644,23.117033603708,3452
AS,baseline,25,2926,586,86.1094761624485,17.2454384932313,3398
AS,baseline,21,2620,800,72.2958057395143,22.075055187638,3624
AS,baseline,27,1808,998,51.2471655328798,28.2879818594104,3528
AS,baseline,30,3290,618,97.1647962197283,18.2516243354991,3386
AS,baseline,27,3526,2068,79.3786582620441,46.5556055830707,4442
AS,baseline,33,3788,2618,82.8521434820647,57.2615923009624,4572
AS,baseline,33,1290,3470,28.5145888594164,76.7020335985853,4524
AS,baseline,30,880,1890,21.7498764211567,46.7128027681661,4046
AS,baseline,32,300,2472,7.67263427109974,63.2225063938619,3910
AS,baseline,29,506,3064,13.6241249326871,82.4986537425956,3714
AS,baseline,26,200,1050,8.23045267489712,43.2098765432099,2430
AS,baseline,30,2580,2316,76.9689737470167,69.0930787589499,3352
AS,baseline,23,200,420,5.94883997620464,12.4925639500297,3362
AS,baseline,24,3086,1206,90.8716136631331,35.5123674911661,3396
AS,baseline,32,798,2290,22.6833428084139,65.093803297328,3518
AS,baseline,33,2460,1382,66.9934640522876,37.636165577342,3672
AS,baseline,26,2700,1510,84.8522941546197,47.4544311753614,3182
AS,baseline,33,598,1530,12.7396676608436,32.5948018747337,4694
AS,baseline,32,1752,3112,33.0815709969789,58.761329305136,5296
AS,baseline,28,716,2656,19.1854233654877,71.1682743837085,3732
AS,baseline,33,3242,2782,82.159148504815,70.5017739483021,3946
AS,baseline,31,1692,610,53.4766118836915,19.2793931731985,3164
AS,baseline,30,200,3096,5.81057524694945,89.9477048227775,3442
AS,baseline,27,334,2886,10.2203182374541,88.3108935128519,3268
AS,baseline,33,2238,200,59.4264471587892,5.31067445565587,3766
AS,baseline,23,1322,200,45.3671928620453,6.86341798215511,2914
AS,baseline,30,2782,220,56.4071370640714,4.46066504460665,4932
AS,baseline,20,200,782,8.43170320404722,32.9679595278246,2372
AS,ATB,20,1582,430,74.7637051039698,20.3213610586011,2116
AS,ATB,22,200,464,4.57456541628545,10.6129917657823,4372
AS,ATB,33,2464,1888,82.0786142571619,62.8914057295137,3002
AS,ATB,30,3282,200,52.7313624678663,3.2133676092545,6224
AS,ATB,28,350,2484,7.8405017921147,55.6451612903226,4464
AS,ATB,26,2252,3304,50.6294964028777,74.2805755395683,4448
AS,ATB,26,3524,1978,77.5869660942316,43.5490973139586,4542
AS,ATB,33,898,1456,15.9729633582355,25.8982568480968,5622
AS,ATB,29,2646,1798,52.8776978417266,35.9312549960032,5004
AS,ATB,30,3742,880,99.8399146211313,23.4791889007471,3748
AS,ATB,29,3636,1216,69.6551724137931,23.2950191570881,5220
AS,ATB,30,916,2402,22.5949679329058,59.2501233349778,4054
AS,ATB,26,1880,1156,45.3887011105746,27.9092225977789,4142
AS,ATB,26,3946,872,75.362872421696,16.6539343009931,5236
AS,ATB,33,534,204,12.5410991075622,4.79098168154063,4258
AS,ATB,33,2990,200,80.074986609534,5.35618639528656,3734
AS,ATB,27,914,3290,24.5963401506997,88.5360602798708,3716
AS,ATB,33,1140,200,31.5439955727726,5.53403431101273,3614
