elementID,suggestedLabel,onsetSec,peakSec,offsetSec,durationSec,peakActivationZ
3,deep incoming rumble,268.35,268.4,268.65,0.299999999999955,2.0911353262269
1,continuous foamy hiss,268.65,268.8,269.2,0.550000000000011,3.79098240108908
3,deep incoming rumble,268.95,269.25,269.25,0.300000000000011,1.8867065717535
3,deep incoming rumble,269.9,270.3,270.55,0.650000000000034,3.33924216198756
3,deep incoming rumble,271.7,272.4,272.45,0.75,2.45242446328174
8,deep incoming rumble,271.9,272,272.05,0.150000000000034,1.87263568121678
1,continuous foamy hiss,273.7,273.8,273.85,0.150000000000034,2.20305840272008
5,deep incoming rumble,275.8,276.05,276.05,0.25,2.14668026542221
2,whitewater decay,278.25,278.8,279.3,1.05000000000001,3.86807012221749
1,continuous foamy hiss,278.4,278.45,278.65,0.25,1.84509585022233
5,deep incoming rumble,278.6,278.65,278.85,0.25,2.55471530643404
10,lapping water movement,278.75,278.8,279,0.25,2.48920297565007
1,continuous foamy hiss,278.9,278.95,279.05,0.150000000000034,2.04887563223855
2,whitewater decay,279.9,280.1,280.15,0.25,1.63437101447611
4,lapping water movement,280.35,280.45,280.55,0.199999999999989,2.04586073993136
1,continuous foamy hiss,282,282.15,282.3,0.300000000000011,2.38057719910097
4,lapping water movement,283.65,283.75,283.8,0.150000000000034,1.93901389160051
7,deep incoming rumble,287.8,287.85,289.2,1.39999999999998,3.60306617864321
10,lapping water movement,290.1,290.4,290.7,0.599999999999966,1.91675135381086
2,whitewater decay,290.2,290.35,291.1,0.900000000000034,2.80226851743816
9,deep incoming rumble,290.6,290.9,291.3,0.699999999999989,2.26109175865521
2,whitewater decay,291.35,291.5,291.65,0.299999999999955,3.4742204544208
1,continuous foamy hiss,291.5,291.6,291.9,0.399999999999977,2.88640203743892
2,whitewater decay,291.95,292.25,292.3,0.350000000000023,2.49675070230153
9,deep incoming rumble,292.6,292.7,292.8,0.199999999999989,2.30998183571612
6,broadband crash,292.9,293.1,293.25,0.350000000000023,3.1063986214324
2,whitewater decay,293.1,293.45,293.65,0.549999999999955,2.04990719449735
6,broadband crash,293.65,293.75,294.05,0.400000000000034,2.10113333599937
2,whitewater decay,294.05,294.4,294.45,0.399999999999977,2.20954119232554
9,deep incoming rumble,295.7,296.15,296.65,0.949999999999989,2.5839553788332
1,continuous foamy hiss,297.5,297.6,297.7,0.199999999999989,2.42602315017405
2,whitewater decay,297.65,298,298,0.350000000000023,1.94553253724697
3,deep incoming rumble,301.8,301.85,302.2,0.399999999999977,2.07398051921627
4,lapping water movement,302.65,302.8,302.85,0.200000000000045,2.00032937048835
